slug	fm_bytes	body_bytes	total_bytes	desc_len
academic-research	832	8751	9583	404
agent-pulse	1151	9206	10357	684
agentation	565	8056	8621	168
agentic-skills	549	9736	10285	172
agenticskills	689	5069	5758	294
aider-cli-workflow	412	2621	3033	139
amrouter	221	15721	15942	178
api-design	377	9963	10340	95
api-documentation	469	10937	11406	109
article-prompts-to-skills	958	7087	8045	425
astryx	1661	15364	17025	614
audit-reference-originality	1001	8110	9111	459
audit-verify-explain-grade-5	868	4437	5305	326
aura-asset-images	819	6606	7425	394
authentication-setup	644	11133	11777	298
autoresearch	659	10687	11346	346
ax	161	13647	13808	124
backend-testing	556	11550	12106	304
bmad	652	11319	11971	351
bmad-gds	561	9183	9744	234
bmad-idea	661	10264	10925	314
browser-harness	947	9293	10240	184
browser-video-recording	1062	6915	7977	530
build-daily-inspiration-sites	950	8640	9590	401
caveman	421	2532	2953	161
ccpi-marketplace	562	1473	2035	197
changelog-maintenance	1063	10718	11781	707
claudekit	404	1582	1986	125
clawteam	807	9597	10404	516
cli-anything	889	9585	10474	406
code-refactoring	887	9702	10589	520
code-review	418	11092	11510	136
codebase-search	562	9695	10257	308
codeflow	1275	9175	10450	698
colibri	1079	4502	5581	458
compresso	591	4094	4685	178
customer-email-draft-threads	1200	12286	13486	648
customer-support-verification	1449	9751	11200	889
daily-ui-inspiration-capture	924	8920	9844	382
data-analysis	334	9939	10273	100
database-schema-design	911	11616	12527	574
debugging	670	9526	10196	384
deep-dive	275	26402	26677	236
deep-research	1605	8074	9679	595
deepinit	290	9710	10000	245
deployment-automation	1292	9638	10930	672
design-first-ui-prompting	644	4540	5184	207
design-system	1299	11131	12430	724
devup-ui	1252	6158	7410	512
diagnose	760	3691	4451	159
drawio	2010	10587	12597	956
elevenlabs-tts	830	4232	5062	330
environment-setup	1048	7084	8132	547
fabric	1040	9285	10325	344
file-organization	1096	12613	13709	510
firebase-ai-logic	871	7174	8045	618
firebase-cli	1313	8913	10226	915
game-build-log-triage	929	9633	10562	467
game-ci-cd-pipeline	1286	14674	15960	644
game-demo-feedback-triage	1170	10498	11668	591
game-performance-profiler	1254	10726	11980	680
game-studio-harness	785	7541	8326	401
gbro-collage-broll	878	3723	4601	491
generate-reference-inspired-brand-worlds	1065	8626	9691	480
genkit	1332	10278	11610	627
ghgrab	461	1889	2350	222
git-guardrails-claude-code	621	3094	3715	144
git-submodule	1163	9372	10535	621
git-workflow	1024	10305	11329	502
github-repo-candidate-quality-gate	464	2066	2530	217
god-tibo-imagen	818	3376	4194	459
google-workspace	1352	10716	12068	762
graphify	1589	13414	15003	852
grill-me	846	2529	3375	329
grill-with-docs	806	3498	4304	299
harness	1086	8231	9317	611
heretic	1041	10938	11979	186
html-to-interaction-prompts	940	16200	17140	401
hyperfine-benchmarking	215	1503	1718	134
implement-fog-of-war	914	7405	8319	396
improve-codebase-architecture	841	4085	4926	329
langsmith	1376	12688	14064	710
lapian-notes	1347	8674	10021	693
lazyweb	1081	10309	11390	591
llm-wiki	1028	9361	10389	654
log-analysis	1137	11052	12189	729
looker-studio-bigquery	1142	7998	9140	541
marketing-automation	1252	10627	11879	777
microsoft-agent-framework	508	1667	2175	267
migrate-to-shoehorn	818	3152	3970	305
monitoring-observability	1290	9812	11102	691
motion-previs-studio	1121	9204	10325	448
notebooklm	814	6360	7174	177
npm-git-install	1320	11295	12615	725
obsidian-mind	1860	14198	16058	943
obsidian-second-brain	2532	11640	14172	435
okf	1683	13583	15266	773
ooo	1468	13559	15027	944
open-code-review	1727	9194	10921	742
open-design	1315	8586	9901	592
openai-agents-python	534	1924	2458	293
opencontext	1183	13537	14720	544
opencut	995	4432	5427	514
openspace	1225	12404	13629	650
opik	1756	8729	10485	909
optimize-web-animations	1100	9395	10495	566
paperbanana	1228	9554	10782	631
pattern-detection	1026	11839	12865	765
payloadcms	595	4175	4770	319
perfectpixel	1044	4697	5741	492
performance-optimization	1383	11956	13339	660
performance-profiling	847	6900	7747	326
plannotator	1265	8998	10263	502
playwriter	845	8353	9198	314
ponytail	1599	8675	10274	779
presentation-builder	1415	9911	11326	784
pretext	992	4935	5927	597
prompts-chat	1020	6512	7532	387
pydantic-ai	455	1698	2153	237
react-best-practices	775	10300	11075	531
react-bits	830	4253	5083	396
react-grab	1094	7697	8791	775
remotion-video-production	771	3748	4519	523
research-paper-writing	856	8151	9007	579
responsive-design	1188	10835	12023	526
rtk	918	7945	8863	612
scaffold-exercises	790	3026	3816	307
scientific-llm-benchmarks	478	1450	1928	115
scrapling	1076	11912	12988	518
security-best-practices	1190	9451	10641	532
semble	924	5797	6721	558
skill-autoresearch	1279	12325	13604	753
skill-standardization	1113	8986	10099	764
slides-grab	2354	11315	13669	995
spec-kit	1650	7008	8658	770
sprint-retrospective	1141	9541	10682	585
standup-meeting	1367	12735	14102	644
state-management	1081	9605	10686	496
steam-store-launch-ops	1242	12116	13358	635
stitch-skills	978	5725	6703	535
stitched-full-page-capture	888	4604	5492	350
strix	1031	6828	7859	537
supabase-agent-skills	492	2042	2534	214
survey	1079	17568	18647	396
system-environment-setup	1148	8733	9881	579
task-estimation	1281	8980	10261	585
task-planning	1423	10425	11848	720
tdd	851	3913	4764	301
technical-writing	1296	8456	9752	738
testing-strategies	1229	15956	17185	670
to-issues	816	3042	3858	300
to-prd	777	2999	3776	297
tokhub	1299	5852	7151	691
triage	669	3454	4123	159
typesense	1963	8534	10497	1011
unity-gamedev-skill-pack	752	2365	3117	285
unsplash-asset-images	740	5641	6381	305
upskill	2075	10611	12686	976
vercel-deploy	1439	10991	12430	798
video-production	1038	8260	9298	547
video-shotcraft	783	5053	5836	383
video-to-superprompt	930	6411	7341	413
vox-director	915	12215	13130	849
web-accessibility	1243	10128	11371	610
web-design	1508	8682	10190	857
web-game-development	1507	8028	9535	836
webtoon-harness	1508	8331	9839	858
write-a-skill	662	3136	3798	152
write-like-meng-on-x	1005	9055	10060	493
x-bookmark-quote-posts	900	10320	11220	375
x-twitter-scraper	2144	9436	11580	284
yuwen-publish-precheck	943	15381	16324	260
zeude	852	4407	5259	498
zoom-out	813	2402	3215	335
