file	line	rule	target	resolved	status
.agent-skills/academic-research/SKILL.md	36	7a	../academic-research--references/deep-research-pipeline.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/deep-research-pipeline.md	broken
.agent-skills/academic-research/SKILL.md	37	7a	../academic-research--references/academic-paper-pipeline.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/academic-paper-pipeline.md	broken
.agent-skills/academic-research/SKILL.md	38	7a	../academic-research--references/academic-paper-reviewer-pipeline.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/academic-paper-reviewer-pipeline.md	broken
.agent-skills/academic-research/SKILL.md	39	7a	../academic-research--references/academic-pipeline-stages.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/academic-pipeline-stages.md	broken
.agent-skills/academic-research/SKILL.md	134	7a	../academic-research--references/deep-research-pipeline.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/deep-research-pipeline.md	broken
.agent-skills/academic-research/SKILL.md	135	7a	../academic-research--references/academic-paper-pipeline.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/academic-paper-pipeline.md	broken
.agent-skills/academic-research/SKILL.md	136	7a	../academic-research--references/academic-paper-reviewer-pipeline.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/academic-paper-reviewer-pipeline.md	broken
.agent-skills/academic-research/SKILL.md	137	7a	../academic-research--references/academic-pipeline-stages.md	/Users/supercent/orca/jeo-skills/.agent-skills/academic-research--references/academic-pipeline-stages.md	broken
.agent-skills/agent-pulse/SKILL.md	169	7a	references/command-and-boundaries.md	/Users/supercent/orca/jeo-skills/.agent-skills/agent-pulse/references/command-and-boundaries.md	ok
.agent-skills/amrouter/README.md	11	7a	./SKILL.md	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/SKILL.md	ok
.agent-skills/amrouter/README.md	89	7a	./references/installation.md	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/references/installation.md	ok
.agent-skills/amrouter/README.md	154	7a	./SKILL.md	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/SKILL.md	ok
.agent-skills/amrouter/README.md	155	7a	./references/installation.md	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/references/installation.md	ok
.agent-skills/amrouter/README.md	156	7a	./references/api-reference.md	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/references/api-reference.md	ok
.agent-skills/amrouter/README.md	157	7a	./references/agent-patterns.md	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/references/agent-patterns.md	ok
.agent-skills/amrouter/README.md	218	7a	./scripts/setup.sh	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/scripts/setup.sh	ok
.agent-skills/amrouter/README.md	219	7a	./scripts/scaffold-integration.sh	/Users/supercent/orca/jeo-skills/.agent-skills/amrouter/scripts/scaffold-integration.sh	ok
